TRADEDATE,MOEXRE,MOEXMM,MOEXIT,MOEXFN,MOEXEU,MOEXCN,MOEXCH,MOEXOG,MOEXTL,MOEXTN
2004-12-30,,1000.0,,1000.0,1000.0,,,1000.0,1000.0,
2004-12-31,,,,,,1000.0,,,,
2005-01-11,,968.46,,1004.9,1001.62,1000.24,,1007.46,1009.93,
2005-01-12,,955.53,,995.09,992.42,997.34,,1009.62,998.73,
2005-01-13,,950.12,,993.07,991.0,1001.56,,1008.79,996.53,
2005-01-14,,977.02,,986.06,987.27,1008.31,,1022.41,994.6,
2005-01-17,,976.44,,966.38,984.63,996.77,,1016.77,992.38,
2005-01-18,,959.88,,958.84,972.73,997.14,,1009.98,995.16,
2005-01-19,,985.34,,963.07,975.36,984.87,,1019.86,1006.18,
2005-01-20,,966.06,,952.21,973.37,,,1005.05,999.65,
2005-01-21,,982.5,,959.31,975.22,984.9,,1006.15,997.76,
2005-01-24,,1016.41,,976.4,984.97,1004.99,,1019.44,997.19,
2005-01-25,,1023.42,,991.96,994.72,1003.96,,1030.13,1003.58,
2005-01-26,,1019.18,,994.0,991.53,1003.46,,1028.88,1008.1,
2005-01-27,,1032.4,,995.59,996.18,1025.42,,1039.97,1025.72,
2005-01-28,,1076.39,,1018.48,1019.43,1033.0,,1063.04,1057.14,
2005-01-31,,1070.04,,1015.58,1030.24,1053.33,,1085.07,1055.82,
2005-02-01,,1086.43,,1035.42,1033.49,1054.01,,1091.32,1073.36,
2005-02-02,,1089.79,,1033.6,1048.53,1053.74,,1097.96,1104.68,
2005-02-03,,1089.4,,1045.82,1042.58,1071.02,,1099.39,1128.27,
2005-02-04,,1084.76,,1049.51,1046.23,1090.28,,1099.24,1144.77,
2005-02-07,,1068.26,,1059.86,1032.96,1082.48,,1101.05,1134.63,
2005-02-08,,1092.64,,1066.21,1040.09,1072.53,,1119.13,1146.28,
2005-02-09,,1080.1,,1069.48,1034.1,1071.98,,1103.29,1141.31,
2005-02-10,,1085.75,,1067.93,1030.17,1083.7,,1110.53,1132.51,
2005-02-11,,1084.55,,1077.73,1026.76,1203.85,,1101.93,1131.75,
2005-02-14,,1074.78,,1098.67,1022.68,1271.77,,1100.29,1137.0,
2005-02-15,,1093.31,,1108.62,1027.66,1264.84,,1107.51,1150.66,
2005-02-16,,1099.45,,1095.26,1024.46,1268.1,,1113.09,1159.58,
2005-02-17,,1108.23,,1100.06,1029.58,1324.87,,1135.05,1173.21,
2005-02-18,,1106.3,,1107.33,1030.3,1324.9,,1137.81,1178.38,
2005-02-21,,1119.23,,1106.05,1039.7,,,1147.22,1181.36,
2005-02-22,,1124.87,,1115.73,1040.64,,,1142.07,1155.64,
2005-02-24,,1170.45,,1132.03,1048.96,1325.91,,1170.59,1170.34,
2005-02-25,,1175.4,,1159.45,1043.2,1326.52,,1178.05,1174.4,
2005-02-28,,1229.23,,1159.33,1041.06,1306.76,,1203.26,1201.57,
2005-03-01,,1195.85,,1154.1,1023.34,1307.34,,1188.62,1186.95,
2005-03-02,,1179.01,,1125.49,1004.93,1349.37,,1179.26,1176.59,
2005-03-03,,1225.2,,1131.43,997.75,1356.23,,1183.48,1181.21,
2005-03-04,,1250.24,,1178.62,1003.48,1356.46,,1202.6,1192.67,
2005-03-05,,1250.67,,1174.52,1008.59,1357.49,,1207.04,1197.06,
2005-03-09,,1257.32,,1159.54,1010.78,,,1212.74,1199.93,
2005-03-10,,1202.49,,1130.4,1001.66,1357.46,,1180.87,1183.63,
2005-03-11,,1208.18,,1129.87,1013.63,1354.84,,1188.48,1180.62,
2005-03-14,,1197.83,,1136.74,997.39,1338.09,,1173.77,1159.38,
2005-03-15,,1190.38,,1129.65,994.82,1331.07,,1166.49,1155.86,
2005-03-16,,1146.41,,1082.86,964.22,1343.33,,1137.09,1137.16,
2005-03-17,,1163.25,,1113.35,969.35,1352.02,,1143.49,1136.98,
2005-03-18,,1153.32,,1129.18,962.85,1357.48,,1139.08,1136.82,
2005-03-21,,1121.24,,1123.28,947.48,1357.68,,1121.04,1118.27,
2005-03-22,,1144.8,,1140.48,962.85,1358.24,,1132.19,1130.15,
2005-03-23,,1105.4,,1130.82,959.73,1356.43,,1122.81,1117.11,
2005-03-24,,1173.92,,1153.2,985.55,1353.71,,1148.82,1132.48,
2005-03-25,,1188.09,,1161.92,993.03,1370.0,,1158.9,1133.62,
2005-03-28,,1185.96,,1168.71,987.63,1374.04,,1151.54,1137.6,
2005-03-29,,1165.25,,1157.21,987.04,1370.52,,1144.82,1120.39,
2005-03-30,,1147.69,,1144.31,988.57,1370.38,,1129.85,1107.18,
2005-03-31,,1165.11,,1169.43,1004.64,1371.38,,1138.42,1119.31,
2005-04-01,,1182.33,,1203.93,1011.1,1371.78,,1167.37,1126.88,
2005-04-04,,1169.97,,1219.15,962.73,1377.14,,1166.86,1142.47,
2005-04-05,,1181.68,,1226.97,972.61,1378.31,,1171.52,1152.43,
2005-04-06,,1212.04,,1241.49,988.99,1344.51,,1198.63,1192.71,
2005-04-07,,1225.53,,1248.91,978.24,1331.82,,1200.9,1202.31,
2005-04-08,,1235.78,,1250.24,974.8,1291.87,,1210.67,1214.43,
2005-04-11,,1201.26,,1241.07,981.19,1290.22,,1185.95,1191.77,
2005-04-12,,1191.85,,1242.69,962.16,1290.09,,1179.07,1188.94,
2005-04-13,,1186.32,,1269.73,966.91,1289.09,,1174.34,1187.46,
2005-04-14,,1165.45,,1266.75,968.22,1295.57,,1155.44,1180.92,
2005-04-15,,1148.29,,1275.74,960.08,1315.83,,1144.58,1172.78,
2005-04-18,,1123.13,,1251.02,940.45,1309.09,,1131.26,1149.16,
2005-04-19,,1146.25,,1263.55,939.06,1315.41,,1140.46,1150.84,
2005-04-20,,1126.78,,1257.48,940.75,1318.87,,1140.25,1149.08,
2005-04-21,,1148.97,,1265.71,949.75,1323.55,,1148.38,1149.17,
2005-04-22,,1144.2,,1274.48,962.36,1309.97,,1153.7,1151.53,
2005-04-25,,1150.71,,1271.97,953.89,1312.01,,1156.96,1148.07,
2005-04-26,,1147.24,,1269.3,957.77,1321.76,,1144.77,1143.21,
2005-04-27,,1116.15,,1254.22,941.99,1316.43,,1129.28,1121.57,
2005-04-28,,1117.86,,1257.68,946.98,1315.64,,1132.58,1115.33,
2005-04-29,,1108.74,,1257.43,941.72,1323.28,,1130.38,1104.11,
2005-05-03,,1114.0,,1273.32,946.51,1323.73,,1122.55,1108.55,
2005-05-04,,1118.01,,1284.77,940.19,1395.39,,1123.11,1109.03,
2005-05-05,,1121.2,,1273.33,941.11,1411.39,,1126.98,1110.41,
2005-05-06,,1132.51,,1267.4,942.25,1403.62,,1121.17,1107.55,
2005-05-11,,1134.13,,1240.27,931.91,1401.14,,1108.53,1088.99,
2005-05-12,,1121.78,,1242.3,915.83,1407.75,,1092.13,1061.99,
2005-05-13,,1101.98,,1253.54,914.11,1411.02,,1090.3,1056.75,
2005-05-14,,1100.75,,1250.21,914.02,1404.16,,1089.35,1059.94,
2005-05-16,,1073.05,,1232.76,888.98,1404.19,,1073.54,1039.32,
2005-05-17,,1103.72,,1260.36,917.28,1434.77,,1102.85,1059.98,
2005-05-18,,1090.57,,1263.21,922.85,1433.87,,1102.39,1059.69,
2005-05-19,,1097.52,,1264.77,918.74,1541.94,,1099.27,1060.43,
2005-05-20,,1099.8,,1252.59,922.27,1564.05,,1102.01,1064.27,
